Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills*,11,6,0.647,451,311,140,8.2,-1.8,6.5,4.1,2.3
Miami Dolphins+,11,6,0.647,496,391,105,6.2,-1.8,4.4,7.6,-3.1
New York Jets,7,10,0.412,268,355,-87,-5.1,-0.6,-5.8,-6.7,0.9
New England Patriots,4,13,0.235,236,366,-130,-7.6,-0.2,-7.9,-8.5,0.6
Baltimore Ravens*,13,4,0.765,483,280,203,11.9,1.2,13.2,6.7,6.5
Cleveland Browns+,11,6,0.647,396,362,34,2,1.3,3.3,2.4,0.9
Pittsburgh Steelers+,10,7,0.588,304,324,-20,-1.2,1.9,0.7,-3,3.7
Cincinnati Bengals,9,8,0.529,366,384,-18,-1.1,2.8,1.7,1.3,0.4
Houston Texans*,10,7,0.588,377,353,24,1.4,-1,0.4,0.3,0.1
Jacksonville Jaguars,9,8,0.529,377,371,6,0.4,1.1,1.4,1.3,0.1
Indianapolis Colts,9,8,0.529,396,415,-19,-1.1,-0.2,-1.3,2.4,-3.8
Tennessee Titans,6,11,0.353,305,367,-62,-3.6,0.4,-3.2,-4,0.7
Kansas City Chiefs*,11,6,0.647,371,294,77,4.5,-0.8,3.7,-0.6,4.4
Las Vegas Raiders,8,9,0.471,332,331,1,0.1,-0.9,-0.9,-2.4,1.6
Denver Broncos,8,9,0.471,357,413,-56,-3.3,-0.5,-3.8,-0.8,-3
Los Angeles Chargers,5,12,0.294,346,398,-52,-3.1,0.9,-2.2,-0.6,-1.6
Dallas Cowboys*,12,5,0.706,509,315,194,11.4,-2.2,9.2,6.5,2.7
Philadelphia Eagles+,11,6,0.647,433,428,5,0.3,-0.4,-0.1,3.6,-3.7
New York Giants,6,11,0.353,266,407,-141,-8.3,0.4,-7.9,-6.9,-1
Washington Commanders,4,13,0.235,329,518,-189,-11.1,0,-11.1,-2.8,-8.4
Detroit Lions*,12,5,0.706,461,395,66,3.9,0.4,4.3,6,-1.8
Green Bay Packers+,9,8,0.529,383,350,33,1.9,-0.8,1.2,0.9,0.2
Minnesota Vikings,7,10,0.412,344,362,-18,-1.1,0.5,-0.6,-1.6,1
Chicago Bears,7,10,0.412,360,379,-19,-1.1,-0.9,-2,-1.2,-0.9
Tampa Bay Buccaneers*,9,8,0.529,348,325,23,1.4,-0.3,1.1,-1.6,2.7
New Orleans Saints,9,8,0.529,402,327,75,4.4,-2.2,2.2,1.7,0.5
Atlanta Falcons,7,10,0.412,321,373,-52,-3.1,-1.9,-5,-3.6,-1.4
Carolina Panthers,2,15,0.118,236,416,-180,-10.6,0.7,-9.9,-7.9,-2
San Francisco 49ers*,12,5,0.706,491,298,193,11.4,0.4,11.8,7.1,4.7
Los Angeles Rams+,10,7,0.588,404,377,27,1.6,1.4,3,2,1
Seattle Seahawks,9,8,0.529,364,402,-38,-2.2,1.3,-1,-0.2,-0.8
Arizona Cardinals,4,13,0.235,330,455,-125,-7.4,1.9,-5.4,-1.8,-3.7
